name,location,edition,restaurant_url
Pasta Evangelists,Manchester,sale,https://deliveroo.co.uk/menu/Manchester/sale/pasta-evangelists-editions-sal?day=today&geohash=gcqrg7xdxvft&time=ASAP
The Athenian - Greek Gyros & Souvlaki ,Manchester,editions-ordsall,https://deliveroo.co.uk/menu/Manchester/editions-ordsall/the-athenian-editions-sal?day=today&geohash=gcqrg7xdxvft&time=ASAP
Luxford Burgers,Manchester,editions-ordsall,https://deliveroo.co.uk/menu/Manchester/editions-ordsall/luxford-burgers-editions-man?day=today&geohash=gcqrg7xdxvft&time=ASAP
Nomi Katsu 🇯🇵,Manchester,editions-ordsall,https://deliveroo.co.uk/menu/Manchester/editions-ordsall/nomi-katsu-editions-sal?day=today&geohash=gcqrg7xdxvft&time=ASAP
Poke Fuzion by ZUMU,Manchester,editions-ordsall,https://deliveroo.co.uk/menu/Manchester/editions-ordsall/poke-fuzion-uk?day=today&geohash=gcqrg7xdxvft&time=ASAP
Sabor - Latin American,Manchester,editions-ordsall,https://deliveroo.co.uk/menu/Manchester/editions-ordsall/sabor-editions-man?day=today&geohash=gcqrg7xdxvft&time=ASAP
Bulked Loaded Fries,Manchester,editions-ordsall,https://deliveroo.co.uk/menu/Manchester/editions-ordsall/bulked-editions-man?day=today&geohash=gcqrg7xdxvft&time=ASAP
The Athenian - Vegan Greek Kitchen,Manchester,editions-ordsall,https://deliveroo.co.uk/menu/Manchester/editions-ordsall/the-athenian-plant-based-editions-sal?day=today&geohash=gcqrg7xdxvft&time=ASAP
Fuji Bento,Manchester,editions-ordsall,https://deliveroo.co.uk/menu/Manchester/editions-ordsall/karate-kid-bento-editions-manchester?day=today&geohash=gcqrg7xdxvft&time=ASAP
KYN Pan Asian by ZUMU,Manchester,editions-ordsall,https://deliveroo.co.uk/menu/Manchester/editions-ordsall/kyn-editions-sal?day=today&geohash=gcqrg7xdxvft&time=ASAP
TRIP CBD Store,Manchester,editions-ordsall,https://deliveroo.co.uk/menu/Manchester/editions-ordsall/trip-cbd-store-editions-sal?day=today&geohash=gcqrg7xdxvft&time=ASAP
🌿Wawin Vegan Chinese🌿 ,Manchester,editions-ordsall,https://deliveroo.co.uk/menu/Manchester/editions-ordsall/wawin-vegan-chinese-manchester?day=today&geohash=gcqrg7xdxvft&time=1645
Proove Pizza,Manchester,editions-ordsall,https://deliveroo.co.uk/menu/Manchester/editions-ordsall/proove-editions-sal?day=today&geohash=gcqrg7xdxvft&time=1645
Lower East Side 🍕 New York Style Pizza,Manchester,editions-ordsall,https://deliveroo.co.uk/menu/Manchester/editions-ordsall/lower-east-side-editions-sal?day=today&geohash=gcqrg7xdxvft&time=1645
PROOVegan,Manchester,editions-ordsall,https://deliveroo.co.uk/menu/Manchester/editions-ordsall/proovegan-editions-sal?day=today&geohash=gcqrg7xdxvft&time=1645
Burger King ,Cambridge,cambridge-editions,https://deliveroo.co.uk/menu/Cambridge/cambridge-editions/burger-king-editions-cam?day=today&geohash=u12152k2dw2m&time=ASAP
Pasta Evangelists,Cambridge,cambridge-south,https://deliveroo.co.uk/menu/Cambridge/cambridge-south/pasta-evangelists-editions-cam?day=today&geohash=u12152k2dw2m&time=ASAP
Dishoom,Cambridge,cambridge-editions,https://deliveroo.co.uk/menu/Cambridge/cambridge-editions/dishoom-editions-cam?day=today&geohash=u12152k2dw2m&time=ASAP
Poke Fuzion,Cambridge,cambridge-editions,https://deliveroo.co.uk/menu/Cambridge/cambridge-editions/poke-fuzion-editions-cam?day=today&geohash=u12152k2dw2m&time=ASAP
Nomi Katsu 🇯🇵,Cambridge,cambridge-editions,https://deliveroo.co.uk/menu/Cambridge/cambridge-editions/nomi-katsu-editions-cam-new?day=today&geohash=u12152k2dw2m&time=ASAP
Zumuku,Cambridge,cambridge-editions,https://deliveroo.co.uk/menu/Cambridge/cambridge-editions/zumu-editions-cam?day=today&geohash=u12152k2dw2m&time=ASAP
Trip CBD Store,Cambridge,cambridge-editions,https://deliveroo.co.uk/menu/Cambridge/cambridge-editions/trip-cbd-store-editions-cam?day=today&geohash=u12152k2dw2m&time=ASAP
Ice Cream Store,Cambridge,cambridge-editions,https://deliveroo.co.uk/menu/Cambridge/cambridge-editions/ics-editions-cambridge-new?day=today&geohash=u12152k2dw2m&time=ASAP
Ben & Jerry's Store ,Cambridge,cambridge-editions,https://deliveroo.co.uk/menu/Cambridge/cambridge-editions/ben-and-jerrys-store-editions-cam?day=today&geohash=u12152k2dw2m&time=ASAP
Forketta,Cambridge,cambridge-editions,https://deliveroo.co.uk/menu/Cambridge/cambridge-editions/barilla-editions-cam?geohash=u12152k2dw2m
Ben & Jerry's Store - Edition - CAT,London,blackwall,https://deliveroo.co.uk/menu/London/blackwall/ben-and-jerrys-store-editions-blw?geohash=u10j05846jny
Lolo Poke,London,blackwall,https://deliveroo.co.uk/menu/London/blackwall/lolo-poke-editions-blw?geohash=u10j05846jny
WING·STOP,Edinburgh,new-town,https://deliveroo.co.uk/menu/Edinburgh/new-town/wingstop-edinburgh?day=today&geohash=gcvwr4jytdk9&time=ASAP
Luxford Burgers,Edinburgh,broughton,https://deliveroo.co.uk/menu/Edinburgh/broughton/luxford-burgers-picardy-place?day=today&geohash=gcvwr4jytdk9&time=ASAP
Bulked – Loaded Fries,Edinburgh,broughton,https://deliveroo.co.uk/menu/Edinburgh/broughton/bulked-loaded-fries-edn?day=today&geohash=gcvwr4jytdk9&time=ASAP
Sabor – Latin American,Edinburgh,broughton,https://deliveroo.co.uk/menu/Edinburgh/broughton/sabor-latin-american-edn?day=today&geohash=gcvwr4jytdk9&time=ASAP
WINGSTOP,London,jubilee-park-lee-valley,https://deliveroo.co.uk/menu/London/jubilee-park-lee-valley/wingstop-enfield-dk?day=today&geohash=gcpvybj0n01b&time=ASAP
Bronson’s Burgers,London,jubilee-park-lee-valley,https://deliveroo.co.uk/menu/London/jubilee-park-lee-valley/bronsons-burgers-editions-plg?day=today&geohash=gcpvybj0n01b&time=ASAP
Mindful Chef ,London,jubilee-park-lee-valley,https://deliveroo.co.uk/menu/London/jubilee-park-lee-valley/mindful-chef-editions-plg?day=today&geohash=gcpvybj0n01b&time=ASAP
TRIP CBD Store ,London,jubilee-park-lee-valley,https://deliveroo.co.uk/menu/London/jubilee-park-lee-valley/trip-cbd-store-editions-plg?day=today&geohash=gcpvybj0n01b&time=ASAP
WING·STOP,Glasgow,glasgow-editions,https://deliveroo.co.uk/menu/Glasgow/glasgow-editions/wingstop-editions-glg?day=today&geohash=gcuvwzjhqpyr&time=ASAP
The Poke Shack ,Glasgow,glasgow-editions,https://deliveroo.co.uk/menu/Glasgow/glasgow-editions/poke-shack-editions-glg?day=today&geohash=gcuvwzjhqpyr&time=ASAP
Luxford Burgers,Glasgow,glasgow-editions,https://deliveroo.co.uk/menu/Glasgow/glasgow-editions/luxford-burgers-editions-glg?day=today&geohash=gcuvwzjhqpyr&time=ASAP
The Athenian - Greek Gyros & Halloumi Fries,Glasgow,glasgow-editions,https://deliveroo.co.uk/menu/Glasgow/glasgow-editions/the-athenian-editions-glasgow?day=today&geohash=gcuvwzjhqpyr&time=ASAP
The Athenian - Vegan Greek Kitchen,Glasgow,glasgow-editions,https://deliveroo.co.uk/menu/Glasgow/glasgow-editions/the-athenian-plant-based-editions-glasgow?day=today&geohash=gcuvwzjhqpyr&time=ASAP
Mindful Chef,Glasgow,glasgow-editions,https://deliveroo.co.uk/menu/Glasgow/glasgow-editions/mindful-chef-editions-glg?day=today&geohash=gcuvwzjhqpyr&time=ASAP
Sabor - Latin American,Glasgow,glasgow-editions,https://deliveroo.co.uk/menu/Glasgow/glasgow-editions/sabor-editions-glg?day=today&geohash=gcuvwzjhqpyr&time=ASAP
Bulked - Loaded Fries,Glasgow,glasgow-editions,https://deliveroo.co.uk/menu/Glasgow/glasgow-editions/bulked-editions-glg?day=today&geohash=gcuvwzjhqpyr&time=ASAP
Sprigg - Ingram Street,Glasgow,glasgow-city-centre,https://deliveroo.co.uk/menu/Glasgow/glasgow-city-centre/sprigg-ingram-st?geohash=gcuvwzjhqpyr
Pho,London,brent-cross-editions,https://deliveroo.co.uk/menu/London/brent-cross-editions/pho-editions-brc?day=today&geohash=gcpv6q00zbdh&time=1630
WING·STOP,Leeds,editions-in-leeds,https://deliveroo.co.uk/menu/Leeds/editions-in-leeds/wingstop-editions-chr?day=today&geohash=gcwfhugpwsj5&time=ASAP
